Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,State,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method
O00036,2026-06-09,C0873,Arun Kumar,P1796,Mouse,Electronics,West,Goa,6,1691.06,0.05,9639.04,6279.18,3359.86,Debit Card
O00037,2026-03-21,C0265,Vijay Singh,P0649,Sofa,Furniture,East,Jharkhand,3,30734.97,0.0,92204.91,55508.19,36696.72,Cash
O00038,2026-04-14,C1168,Ravi Iyer,P6266,Bookshelf,Furniture,West,Goa,5,11343.83,0.2,45375.32,37163.45,8211.87,Credit Card
O00039,2025-08-23,C0588,Ravi Rao,P2376,Dining Table,Furniture,West,Goa,2,24691.89,0.0,49383.78,29639.44,19744.34,Net Banking
O00040,2025-07-13,C0339,Sneha Kumar,P9685,Laptop,Electronics,South,Telangana,6,79383.99,0.15,404858.35,330623.63,74234.72,Cash
O00041,2026-02-19,C0167,Meena Rao,P0649,Sofa,Furniture,North,Uttar Pradesh,3,16225.5,0.05,46242.68,26946.76,19295.92,Cash
O00042,2026-04-21,C1025,Rahul Verma,P6547,Shoes,Clothing,West,Goa,7,3493.03,0.0,24451.21,17282.33,7168.88,Net Banking
O00043,2025-06-22,C0080,Ananya Das,P7050,Makeup Kit,Beauty,South,Telangana,3,4184.55,0.05,11925.97,8907.49,3018.48,UPI
O00044,2025-11-01,C0656,Vijay Verma,P1101,T-Shirt,Clothing,West,Goa,3,721.44,0.2,1731.46,1374.2,357.26,Cash
O00045,2025-01-08,C0090,Sneha Rao,P5057,Headphones,Electronics,South,Andhra Pradesh,4,7503.49,0.0,30013.96,24427.0,5586.96,Debit Card
O00046,2025-07-20,C0461,Rahul Reddy,P1101,T-Shirt,Clothing,South,Andhra Pradesh,2,924.96,0.1,1664.93,1332.95,331.98,Credit Card
O00047,2025-09-08,C0374,Arun Sharma,P0899,Perfume,Beauty,South,Tamil Nadu,7,1346.79,0.1,8484.78,5696.8,2787.98,Debit Card
O00048,2025-04-15,C0405,Vijay Reddy,P8699,Coffee Maker,Home & Kitchen,North,Delhi,4,8596.76,0.2,27509.63,22535.69,4973.94,Net Banking
O00049,2026-04-03,C1102,Ravi Kumar,P8566,Dress,Clothing,North,Rajasthan,3,2098.93,0.0,6296.79,4979.33,1317.46,Credit Card
O00050,2025-09-07,C0268,Arun Reddy,P4333,Desk,Furniture,North,Haryana,4,16218.76,0.15,55143.78,37323.29,17820.49,Net Banking
O00051,2025-03-16,C0738,Ananya Sharma,P9007,Jeans,Clothing,South,Andhra Pradesh,2,2555.28,0.1,4599.5,2768.17,1831.33,Credit Card
O00052,2025-12-01,C0081,Karthik Singh,P1600,Office Chair,Furniture,North,Punjab,2,16935.52,0.05,32177.49,20657.26,11520.23,Net Banking
O00053,2026-03-26,C0043,Rahul Verma,P1077,Skin Care Set,Beauty,South,Karnataka,7,1465.84,0.0,10260.88,6293.19,3967.69,Cash
O00054,2025-10-08,C0667,Priya Rao,P4870,Smartwatch,Electronics,East,Bihar,3,3133.46,0.0,9400.38,6080.75,3319.63,Net Banking
O00055,2026-05-28,C0346,Priya Kumar,P3693,Keyboard,Electronics,North,Uttar Pradesh,6,2119.43,0.05,12080.75,7274.42,4806.33,UPI
O00056,2025-02-17,C0804,Arun Nair,P7291,Jacket,Clothing,South,Kerala,1,4905.85,0.2,3924.68,2781.74,1142.94,Credit Card
O00057,2025-12-31,C0883,Vijay Patel,P6993,Air Fryer,Home & Kitchen,South,Karnataka,7,10677.75,0.1,67269.82,39508.46,27761.36,Credit Card
O00058,2025-01-15,C0028,Meena Iyer,P6266,Bookshelf,Furniture,South,Telangana,1,10486.74,0.0,10486.74,7429.65,3057.09,UPI
O00059,2025-01-25,C0233,Priya Singh,P7050,Makeup Kit,Beauty,West,Goa,7,3473.61,0.1,21883.74,15773.11,6110.63,Cash
O00060,2026-06-02,C0315,Ananya Das,P9685,Laptop,Electronics,East,Jharkhand,1,62116.8,0.0,62116.8,38306.57,23810.23,Cash
O00061,2025-08-31,C0548,Sneha Reddy,P0790,Face Cream,Beauty,South,Telangana,2,1142.8,0.15,1942.76,1129.27,813.49,UPI
O00062,2026-03-17,C1050,Rahul Das,P6266,Bookshelf,Furniture,West,Goa,6,11695.94,0.1,63158.08,39655.8,23502.28,Cash
O00063,2025-01-01,C0139,Divya Patel,P1796,Mouse,Electronics,West,Madhya Pradesh,1,1360.0,0.05,1292.0,919.47,372.53,Credit Card
O00064,2025-06-17,C0329,Arun Verma,P1077,Skin Care Set,Beauty,West,Maharashtra,3,3260.46,0.1,8803.24,6784.04,2019.2,UPI
O00065,2025-08-24,C0376,Ravi Sharma,P7050,Makeup Kit,Beauty,North,Rajasthan,4,2078.99,0.15,7068.57,5323.93,1744.64,Cash
O00066,2025-08-17,C0725,Karthik Das,P3067,Cookware Set,Home & Kitchen,South,Karnataka,3,5924.22,0.1,15995.39,10654.84,5340.55,Net Banking
O00067,2025-10-23,C0422,Arun Iyer,P9007,Jeans,Clothing,North,Haryana,7,2207.07,0.0,15449.49,12296.22,3153.27,Credit Card
O00068,2025-02-08,C0391,Rahul Nair,P7291,Jacket,Clothing,South,Karnataka,2,2524.21,0.1,4543.58,3311.44,1232.14,Cash
O00069,2026-02-24,C1121,Karthik Iyer,P3067,Cookware Set,Home & Kitchen,East,West Bengal,1,2007.9,0.1,1807.11,1378.81,428.3,Debit Card
O00070,2025-06-08,C0216,Divya Nair,P8699,Coffee Maker,Home & Kitchen,North,Rajasthan,7,8479.72,0.0,59358.04,37693.56,21664.48,Cash
O00071,2025-04-05,C0794,Karthik Singh,P3067,Cookware Set,Home & Kitchen,North,Uttar Pradesh,3,7746.26,0.05,22076.84,14009.17,8067.67,Credit Card
O00072,2025-08-06,C0985,Arun Nair,P7050,Makeup Kit,Beauty,North,Punjab,4,2912.56,0.0,11650.24,9326.02,2324.22,Net Banking
O00073,2026-01-13,C1053,Sneha Verma,P0899,Perfume,Beauty,South,Karnataka,6,4615.95,0.0,27695.7,17631.57,10064.13,Credit Card
O00074,2025-01-01,C0371,Sneha Das,P9667,Mixer Grinder,Home & Kitchen,East,Bihar,7,2855.95,0.05,18992.07,14674.88,4317.19,Net Banking
O00075,2025-09-01,C0386,Vijay Sharma,P7291,Jacket,Clothing,North,Haryana,3,5635.01,0.05,16059.78,10180.38,5879.4,Cash
O00076,2025-06-29,C0177,Ananya Rao,P0790,Face Cream,Beauty,North,Delhi,4,579.66,0.1,2086.78,1698.91,387.87,UPI
O00077,2025-12-08,C0561,Vijay Kumar,P3693,Keyboard,Electronics,South,Telangana,5,2408.47,0.05,11440.23,8831.26,2608.97,Net Banking
O00078,2025-10-13,C0018,Arun Patel,P8566,Dress,Clothing,East,Bihar,7,3110.59,0.1,19596.72,13628.76,5967.96,Debit Card
O00079,2025-09-21,C0800,Meena Rao,P9685,Laptop,Electronics,East,Bihar,3,74319.99,0.05,211811.97,124141.45,87670.52,Cash
O00080,2025-01-08,C0443,Sneha Reddy,P8699,Coffee Maker,Home & Kitchen,South,Karnataka,1,8499.37,0.0,8499.37,6261.14,2238.23,Credit Card
O00081,2026-03-28,C0469,Vijay Sharma,P3067,Cookware Set,Home & Kitchen,East,Odisha,7,5726.09,0.1,36074.37,28266.1,7808.27,Net Banking
O00082,2025-03-23,C0709,Divya Rao,P1077,Skin Care Set,Beauty,East,Bihar,7,2774.4,0.1,17478.72,11262.16,6216.56,Net Banking
O00083,2025-08-14,C0854,Sneha Kumar,P1600,Office Chair,Furniture,East,Bihar,2,11703.76,0.2,18726.02,12978.18,5747.84,UPI
O00084,2026-06-10,C0237,Ravi Iyer,P1600,Office Chair,Furniture,West,Gujarat,1,5520.66,0.15,4692.56,3830.33,862.23,Credit Card
O00085,2025-03-16,C0042,Divya Verma,P0899,Perfume,Beauty,West,Madhya Pradesh,6,988.85,0.05,5636.44,3942.08,1694.36,Cash
O00086,2025-12-08,C0646,Sneha Sharma,P4636,Smartphone,Electronics,South,Tamil Nadu,4,47755.61,0.05,181471.32,130222.12,51249.2,UPI
O00087,2025-05-10,C0819,Karthik Singh,P0649,Sofa,Furniture,South,Karnataka,3,21323.27,0.05,60771.32,39458.0,21313.32,Cash
O00088,2025-11-06,C0751,Divya Patel,P3067,Cookware Set,Home & Kitchen,North,Rajasthan,3,7017.48,0.15,17894.57,14481.3,3413.27,Debit Card
O00089,2026-03-26,C0296,Arun Kumar,P4333,Desk,Furniture,South,Tamil Nadu,1,19098.51,0.1,17188.66,11865.74,5322.92,Debit Card
O00090,2025-04-18,C0102,Priya Patel,P8699,Coffee Maker,Home & Kitchen,West,Gujarat,5,3186.87,0.15,13544.2,8300.38,5243.82,Credit Card
O00091,2025-01-12,C0661,Arun Iyer,P1101,T-Shirt,Clothing,North,Haryana,5,1338.41,0.15,5688.24,3640.02,2048.22,UPI
O00092,2026-05-04,C0778,Vijay Kumar,P7291,Jacket,Clothing,East,Bihar,7,4690.19,0.05,31189.76,20431.95,10757.81,Net Banking
O00093,2026-05-13,C0594,Divya Iyer,P3067,Cookware Set,Home & Kitchen,North,Rajasthan,3,3778.42,0.15,9634.97,5673.86,3961.11,Debit Card
O00094,2025-04-08,C0936,Meena Iyer,P8566,Dress,Clothing,East,Bihar,7,1261.43,0.05,8388.51,5951.46,2437.05,Net Banking
O00095,2025-06-10,C1132,Priya Iyer,P8566,Dress,Clothing,East,Odisha,3,4480.4,0.0,13441.2,10617.59,2823.61,Net Banking
O00096,2025-02-08,C0958,Arun Das,P6266,Bookshelf,Furniture,South,Telangana,4,8461.3,0.15,28768.42,23480.21,5288.21,Credit Card
O00097,2025-12-25,C0003,Sneha Sharma,P1796,Mouse,Electronics,North,Delhi,4,2260.44,0.1,8137.58,5261.3,2876.28,Net Banking
O00098,2026-02-03,C1164,Meena Das,P0790,Face Cream,Beauty,North,Uttar Pradesh,5,651.42,0.1,2931.39,2391.31,540.08,Debit Card
O00099,2025-06-02,C0885,Rahul Rao,P0899,Perfume,Beauty,West,Madhya Pradesh,3,1459.07,0.0,4377.21,2734.64,1642.57,Debit Card
O00100,2025-02-23,C1123,Divya Rao,P8699,Coffee Maker,Home & Kitchen,East,West Bengal,1,3804.21,0.05,3614.0,2753.79,860.21,UPI
O00101,2025-04-30,C0329,Divya Das,P4870,Smartwatch,Electronics,West,Maharashtra,2,9590.2,0.05,18221.38,11762.09,6459.29,Net Banking
O00102,2025-11-28,C0955,Priya Nair,P0790,Face Cream,Beauty,South,Tamil Nadu,4,827.67,0.05,3145.15,2370.25,774.9,Credit Card
O00103,2025-11-12,C0973,Arun Sharma,P8566,Dress,Clothing,South,Andhra Pradesh,5,2922.35,0.1,13150.58,10230.14,2920.44,Credit Card
O00104,2025-10-16,C0336,Sneha Kumar,P8566,Dress,Clothing,East,Bihar,3,4469.18,0.1,12066.79,9422.75,2644.04,UPI
O00105,2025-07-10,C0007,Karthik Rao,P7050,Makeup Kit,Beauty,West,Madhya Pradesh,1,714.06,0.15,606.95,370.8,236.15,Debit Card
O00106,2025-03-23,C0589,Vijay Sharma,P1796,Mouse,Electronics,West,Gujarat,5,2004.01,0.2,8016.04,5864.82,2151.22,Credit Card
O00107,2025-11-22,C0994,Karthik Reddy,P8566,Dress,Clothing,South,Kerala,4,1695.01,0.1,6102.04,4926.49,1175.55,UPI
O00108,2025-01-22,C0210,Priya Singh,P9667,Mixer Grinder,Home & Kitchen,West,Goa,3,3345.56,0.1,9033.01,5292.45,3740.56,Debit Card
O00109,2026-04-04,C0738,Divya Kumar,P3067,Cookware Set,Home & Kitchen,West,Gujarat,3,4598.6,0.0,13795.8,10633.17,3162.63,Net Banking
O00110,2025-05-10,C1046,Rahul Kumar,P4870,Smartwatch,Electronics,West,Madhya Pradesh,6,4841.4,0.05,27595.98,22255.27,5340.71,Net Banking
O00111,2026-03-29,C0570,Ananya Sharma,P7291,Jacket,Clothing,East,West Bengal,5,2841.87,0.15,12077.95,9077.57,3000.38,Credit Card
O00112,2025-03-01,C0520,Priya Singh,P5533,Shampoo,Beauty,South,Tamil Nadu,7,826.22,0.0,5783.54,3399.6,2383.94,Cash
O00113,2026-06-11,C0521,Ananya Verma,P7050,Makeup Kit,Beauty,North,Delhi,4,850.41,0.1,3061.48,1973.3,1088.18,Debit Card
O00114,2025-03-13,C0607,Ananya Verma,P0790,Face Cream,Beauty,North,Punjab,1,1726.61,0.15,1467.62,1106.33,361.29,Debit Card
O00115,2025-02-15,C0673,Meena Nair,P9685,Laptop,Electronics,South,Andhra Pradesh,2,64793.84,0.1,116628.91,70104.23,46524.68,Net Banking
O00116,2025-04-26,C1190,Vijay Rao,P5057,Headphones,Electronics,North,Punjab,6,8686.49,0.15,44301.1,26132.51,18168.59,Cash
O00117,2025-11-13,C0009,Ananya Verma,P7087,Tablet,Electronics,West,Gujarat,7,29162.44,0.05,193930.23,156006.87,37923.36,Credit Card
O00118,2025-11-14,C0007,Divya Singh,P6547,Shoes,Clothing,West,Goa,6,5123.03,0.05,29201.27,21447.13,7754.14,UPI
O00119,2025-01-12,C0122,Rahul Iyer,P3693,Keyboard,Electronics,South,Telangana,6,2148.65,0.0,12891.9,9920.67,2971.23,Debit Card
O00120,2025-12-18,C0924,Meena Patel,P3693,Keyboard,Electronics,North,Haryana,3,1648.41,0.05,4697.97,2954.36,1743.61,Cash
O00121,2025-06-08,C0805,Divya Singh,P5057,Headphones,Electronics,North,Uttar Pradesh,4,1633.18,0.15,5552.81,3991.82,1560.99,Cash
O00122,2026-05-27,C0932,Ananya Iyer,P4636,Smartphone,Electronics,West,Goa,2,64630.27,0.05,122797.51,81807.24,40990.27,Debit Card
O00123,2026-06-04,C0940,Priya Iyer,P8566,Dress,Clothing,North,Punjab,5,4417.54,0.05,20983.32,13415.38,7567.94,Cash
O00124,2025-03-25,C0891,Ravi Verma,P1600,Office Chair,Furniture,North,Delhi,4,7242.93,0.1,26074.55,17158.24,8916.31,Cash
O00125,2025-10-30,C0630,Meena Rao,P5057,Headphones,Electronics,South,Kerala,4,10151.94,0.05,38577.37,24677.61,13899.76,Debit Card
O00126,2025-10-11,C0687,Karthik Das,P0790,Face Cream,Beauty,South,Telangana,1,1558.46,0.15,1324.69,954.42,370.27,Cash
O00127,2025-11-30,C1044,Meena Kumar,P6547,Shoes,Clothing,South,Telangana,7,2278.57,0.0,15949.99,9589.98,6360.01,UPI
O00128,2026-05-05,C0126,Priya Verma,P6547,Shoes,Clothing,North,Punjab,2,5870.87,0.1,10567.57,6773.96,3793.61,Debit Card
O00129,2025-10-21,C0308,Priya Rao,P0649,Sofa,Furniture,South,Telangana,4,37590.43,0.2,120289.38,72478.7,47810.68,Net Banking
O00130,2026-05-10,C0311,Vijay Rao,P2376,Dining Table,Furniture,South,Kerala,3,26447.7,0.05,75375.95,54895.05,20480.9,UPI
O00131,2025-12-11,C1025,Rahul Das,P4870,Smartwatch,Electronics,West,Maharashtra,5,11446.37,0.05,54370.26,33613.27,20756.99,UPI
O00132,2025-06-08,C1126,Divya Reddy,P0790,Face Cream,Beauty,West,Madhya Pradesh,3,1502.16,0.1,4055.83,3128.97,926.86,Debit Card
O00133,2025-12-10,C0725,Arun Rao,P0790,Face Cream,Beauty,South,Tamil Nadu,7,1123.33,0.05,7470.14,5316.05,2154.09,UPI
O00134,2025-10-18,C0867,Sneha Rao,P9685,Laptop,Electronics,South,Kerala,2,68904.82,0.05,130919.16,103059.57,27859.59,Credit Card
O00135,2025-08-09,C1157,Priya Das,P2376,Dining Table,Furniture,South,Andhra Pradesh,7,22407.27,0.1,141165.8,107790.25,33375.55,Credit Card
O00136,2025-01-21,C1148,Ravi Singh,P3067,Cookware Set,Home & Kitchen,South,Telangana,3,4156.46,0.0,12469.38,8666.27,3803.11,Debit Card
O00137,2026-01-08,C0751,Rahul Nair,P5057,Headphones,Electronics,South,Karnataka,2,7791.6,0.1,14024.88,9052.07,4972.81,Cash
O00138,2025-09-20,C1063,Vijay Nair,P3067,Cookware Set,Home & Kitchen,West,Gujarat,1,5317.34,0.05,5051.47,4097.26,954.21,Cash
O00139,2026-01-20,C0559,Vijay Reddy,P3693,Keyboard,Electronics,North,Rajasthan,6,2915.25,0.1,15742.35,12129.46,3612.89,Credit Card
O00140,2025-06-01,C0859,Karthik Singh,P9685,Laptop,Electronics,North,Punjab,2,76958.74,0.15,130829.86,96963.49,33866.37,UPI
O00141,2026-03-15,C0483,Priya Kumar,P3727,Monitor,Electronics,North,Delhi,7,20242.52,0.0,141697.64,92804.19,48893.45,Debit Card
O00142,2025-03-18,C0770,Rahul Iyer,P7291,Jacket,Clothing,North,Delhi,5,5314.37,0.05,25243.26,17341.86,7901.4,UPI
O00143,2025-10-29,C1126,Meena Iyer,P6547,Shoes,Clothing,South,Kerala,5,1581.21,0.0,7906.05,6282.19,1623.86,Debit Card
O00144,2025-03-11,C0561,Priya Das,P1600,Office Chair,Furniture,North,Uttar Pradesh,4,6888.83,0.1,24799.79,19622.06,5177.73,Credit Card
O00145,2026-01-16,C0727,Priya Reddy,P6547,Shoes,Clothing,North,Punjab,1,5978.31,0.05,5679.39,3748.72,1930.67,Cash
O00146,2026-04-22,C0311,Meena Verma,P5057,Headphones,Electronics,West,Maharashtra,7,9366.56,0.05,62287.62,46066.6,16221.02,Cash
O00147,2025-10-06,C0364,Arun Verma,P2376,Dining Table,Furniture,North,Rajasthan,6,22065.87,0.1,119155.7,71659.03,47496.67,UPI
O00148,2026-05-15,C0481,Vijay Sharma,P6547,Shoes,Clothing,West,Gujarat,5,2928.65,0.0,14643.25,11785.91,2857.34,UPI
O00149,2025-06-29,C0311,Ananya Patel,P7291,Jacket,Clothing,South,Kerala,6,4384.21,0.2,21044.21,16505.86,4538.35,Credit Card
O00150,2025-02-11,C1182,Sneha Rao,P1101,T-Shirt,Clothing,North,Rajasthan,6,1382.13,0.0,8292.78,5231.71,3061.07,UPI
O00151,2025-05-10,C0266,Ravi Sharma,P6266,Bookshelf,Furniture,South,Andhra Pradesh,1,7053.87,0.05,6701.18,4861.9,1839.28,UPI
O00152,2026-03-12,C0902,Ravi Das,P8566,Dress,Clothing,North,Delhi,2,1272.69,0.0,2545.38,1558.89,986.49,Cash
O00153,2025-05-08,C0543,Divya Sharma,P3727,Monitor,Electronics,North,Rajasthan,5,11218.96,0.1,50485.32,31899.11,18586.21,Credit Card
O00154,2025-10-14,C0778,Ravi Sharma,P7291,Jacket,Clothing,South,Karnataka,6,6973.3,0.0,41839.8,31246.32,10593.48,UPI
O00155,2025-04-09,C0190,Rahul Iyer,P1600,Office Chair,Furniture,South,Andhra Pradesh,4,12461.75,0.1,44862.3,28484.63,16377.67,Net Banking
O00156,2025-08-09,C0422,Vijay Sharma,P6547,Shoes,Clothing,West,Madhya Pradesh,7,5002.05,0.05,33263.63,24514.57,8749.06,Debit Card
O00157,2026-06-10,C0598,Karthik Iyer,P0649,Sofa,Furniture,South,Telangana,2,17084.54,0.05,32460.63,24984.33,7476.3,Net Banking
O00158,2026-02-27,C0213,Meena Sharma,P6993,Air Fryer,Home & Kitchen,West,Maharashtra,5,11794.93,0.15,50128.45,40619.0,9509.45,Cash
O00159,2026-01-30,C0183,Karthik Rao,P1600,Office Chair,Furniture,North,Uttar Pradesh,6,5675.71,0.05,32351.55,24489.01,7862.54,Debit Card
O00160,2026-02-26,C0397,Arun Verma,P0649,Sofa,Furniture,North,Punjab,1,37030.3,0.15,31475.76,24366.39,7109.37,Net Banking
O00161,2025-08-20,C0759,Priya Nair,P4636,Smartphone,Electronics,North,Haryana,3,39155.85,0.0,117467.55,93205.08,24262.47,Net Banking
O00162,2026-03-25,C0087,Arun Patel,P4870,Smartwatch,Electronics,North,Rajasthan,3,2687.68,0.2,6450.43,4882.99,1567.44,Credit Card
O00163,2026-03-12,C0499,Rahul Rao,P0649,Sofa,Furniture,West,Goa,5,32885.41,0.15,139762.99,83367.38,56395.61,Credit Card
O00164,2026-01-03,C0360,Ravi Verma,P4870,Smartwatch,Electronics,East,Bihar,2,12843.93,0.0,25687.86,16473.61,9214.25,Cash
O00165,2025-08-05,C0149,Divya Nair,P9667,Mixer Grinder,Home & Kitchen,North,Punjab,2,6412.23,0.1,11542.01,8766.59,2775.42,Cash
O00166,2025-09-30,C0488,Meena Verma,P4636,Smartphone,Electronics,East,Bihar,2,62324.56,0.0,124649.12,75931.3,48717.82,Debit Card
O00167,2025-05-02,C0039,Arun Verma,P1077,Skin Care Set,Beauty,West,Goa,7,2111.65,0.1,13303.4,9186.39,4117.01,Cash
O00168,2025-08-23,C0770,Karthik Singh,P4870,Smartwatch,Electronics,South,Andhra Pradesh,3,17459.51,0.05,49759.6,30659.99,19099.61,Cash
O00169,2026-02-25,C0703,Ananya Patel,P3067,Cookware Set,Home & Kitchen,North,Haryana,7,6071.09,0.15,36122.99,26467.67,9655.32,Net Banking
O00170,2025-07-05,C0515,Arun Singh,P4636,Smartphone,Electronics,South,Tamil Nadu,3,36870.23,0.15,94019.09,59135.05,34884.04,Credit Card
O00171,2025-03-07,C0500,Divya Reddy,P3067,Cookware Set,Home & Kitchen,North,Rajasthan,2,6518.14,0.0,13036.28,9894.23,3142.05,UPI
O00172,2025-01-20,C1015,Ananya Nair,P0790,Face Cream,Beauty,South,Karnataka,3,1794.32,0.05,5113.81,3516.6,1597.21,Cash
O00173,2025-06-03,C0822,Sneha Iyer,P3067,Cookware Set,Home & Kitchen,North,Rajasthan,5,1980.24,0.0,9901.2,6173.56,3727.64,Net Banking
O00174,2026-05-31,C0336,Meena Iyer,P1796,Mouse,Electronics,North,Haryana,4,1857.72,0.1,6687.79,4964.7,1723.09,Credit Card
O00175,2025-03-01,C0406,Sneha Rao,P6547,Shoes,Clothing,South,Karnataka,6,2207.24,0.15,11256.92,7934.68,3322.24,Net Banking
O00176,2025-04-23,C0831,Divya Kumar,P1796,Mouse,Electronics,North,Punjab,3,2483.55,0.1,6705.59,5069.88,1635.71,Net Banking
O00177,2025-09-17,C0399,Ananya Iyer,P3693,Keyboard,Electronics,North,Haryana,1,4786.34,0.0,4786.34,3425.74,1360.6,Credit Card
